name,short_name,cpu,ram,disk,is_app,is_db,ip_range,vlan
Central DB,JAM-NCDB,12 Core,23 GB,1 TB,0,1,172.26.208.231-172.26.208.235,355
Central DB,JAM-CDB,24 Core,32 GB,1 TB,0,1,172.26.208.191-172.26.208.195,355
Mellat Central DB,JAM-NMCDB,12 Core,23 GB,1 TB,0,1,172.26.208.241-172.26.208.245,355
Mellat Central DB,JAM-MCDB,6 Core,16 GB,1 TB,0,1,172.26.208.197-172.26.208.201,355
SQL Queue DB,JAM-SQLQ,6 Core,19 GB,1 TB,0,1,172.26.209.81-172.26.209.83,355
DB Shard,JAM-NDBS,8 Core,19 GB,1 TB,0,1,172.26.209.131-172.26.209.226,355
DB Shard,JAM-DBS,8 Core,16 GB,1 TB,0,1,172.26.208.11-172.26.208.106,355
Specific General DB,JAM-NSGDB,8 Core,19 GB,1 TB,0,1,172.26.208.181-172.26.208.183,355
Specific General DB,JAM-SGDB,8 Core,16 GB,1 TB,0,1,172.26.208.203-172.26.208.205,355
Log DB,JAM-NLOGDB,8 Core,19 GB,2 TB,0,1,172.26.209.116-172.26.209.118,355
Log DB,JAM-LOGDB,8 Core,16 GB,2 TB,0,1,172.26.208.138-172.26.208.140,355
Persistent Cache,JAM-NPSC,8 Core,19 GB,2 TB,0,1,172.26.208.101-172.26.208.130,355
Persistent Cache,JAM-PSC,6 Core,12 GB,1 TB,0,1,172.26.208.141-172.26.208.176,355
ProxySQL,JAM-PSQL,6 Core,15 GB,1 TB,0,1,172.26.209.36-172.26.209.40,355
Cache,JAM-CACHE,2 Core,16 GB,50 GB,0,1,172.26.208.211-172.26.208.230,355
Cache,JAM-NCACHE,2 Core,19 GB,50 GB,0,1,172.26.208.11-172.26.208.22,355
Pubsub,JAM-PUBSUB,2 Core,9 GB,50 GB,0,0,172.26.209.11-172.26.209.16,355
Edge,JAM-EDGE,8 Core,13 GB,100 GB,1,0,172.26.212.11-172.26.212.200,356
RestAPI,JAM-REST,4 Core,11 GB,100 GB,1,0,172.26.213.112-172.26.213.136,356
ElasticSearch (DataNode),JAM-IDX,8 Core,11 GB,500 GB,0,1,172.26.209.59-172.26.209.71,355
ElasticSearch (Master),JAM-IDXM,4 Core,11 GB,100 GB,0,1,172.26.209.85-172.26.209.87,355
Searcher,JAM-SCH,8 Core,11 GB,200 GB,1,0,172.26.213.137-172.26.213.142,356
Nginx,JAM-NNGX,4 Core,9 GB,200 GB,1,0,172.26.213.91-172.26.213.95,356
PWA Nginx,JAM-PNGX,4 Core,9 GB,200 GB,1,0,172.26.213.96-172.26.213.100,356
Local Nginx,JAM-LNGX,4 Core,9 GB,200 GB,1,0,172.26.213.101-172.26.213.102,356
Kafka,JAM-KAF,4 Core,9 GB,500 GB,0,1,172.26.209.43-172.26.209.58,355
Link Preview,JAM-LPW,4 Core,7 GB,100 GB,1,0,172.26.213.149-172.26.213.152,356
Webhook,JAM-HOOK,4 Core,13 GB,100 GB,1,0,172.26.213.181-172.26.213.183,356
Gateway,JAM-GW,4 Core,13 GB,100 GB,1,0,172.26.213.201-172.26.213.209,356
Backup,JAM-BAK,6 Core,8 GB,70 TB,0,0,172.26.208.189-172.26.208.190,355
Zabbix,JAM-ZBX,12 Core,27 GB,1 TB,1,0,172.26.213.250-172.26.213.250,356
Zabbix Proxy,JAM-ZBXP,2 Core,7 GB,50 GB,1,0,172.26.213.243-172.26.213.249,356
NTP Server,JAM-NTP,1 Core,5 GB,50 GB,1,0,172.26.213.235-172.26.213.238,356
DNS,JAM-DNS,4 Core,7 GB,100 GB,1,0,172.26.213.229-172.26.213.234,356
Deploy,JAM-DEP,8 Core,11 GB,500 GB,0,0,172.26.221.2-172.26.221.5,372
Panel,JAM-PANEL,4 Core,11 GB,100 GB,1,0,172.26.213.225-172.26.213.226,356
Clickhouse,JAM-CLK,12 Core,16 GB,1 TB,0,1,172.26.209.90-172.26.209.95,355
